id ; iName ; eng ; jpn ; tchi ; schi ; kor ; fre ; ger ; spa ; ita ; dut ; rus ; color ; 
0152 ; FtrLawnmower ; lawn mower ; しばかりき ; 割草機 ; 割草机 ; 잔디 깎기 ; tondeuse à gazon ; Rasenmäher ; cortacésped ; tagliaerba ; grasmaaier ; газонокосилка ; 
0157 ; FtrTorch ; tiki torch ; たいまつ ; 火把 ; 火把 ; 횃불 ; flambeau ; Fackel ; antorcha ; torcia ; tuinfakkel ; факел ; 
017F ; FtrAcorsticguitar ; acoustic guitar ; アコースティックギター ; 木吉他 ; 木吉他 ; 어쿠스틱기타 ; guitare acoustique ; Akustikgitarre ; guitarra acústica ; chitarra acustica ; akoestische gitaar ; акустическая гитара ; 
0212 ; FtrHariboteGrass ; grass standee ; ハリボテのくさ ; 草叢道具 ; 草丛道具 ; 연극용 잔디 ; herbe en carton ; Pappgras ; hierba de atrezo ; sagoma di erba ; decoratiegras ; бутафорская трава ; 
0213 ; FtrHariboteHedge ; hedge standee ; ハリボテのいけがき ; 樹叢道具 ; 树丛道具 ; 연극용 산울타리 ; buisson en carton ; Pappbusch ; seto de atrezo ; sagoma di cespuglio ; decoratieheg ; бутафорский куст ; 
0214 ; FtrHariboteMountain ; mountain standee ; ハリボテのやま ; 假山道具 ; 假山道具 ; 연극용 산 ; colline en carton ; Papphügel ; montaña de atrezo ; sagoma di collina ; decoratieberg ; бутафорские горы ; 
0215 ; FtrHariboteTree ; tree standee ; ハリボテのき ; 假樹道具 ; 假树道具 ; 연극용 나무 ; arbre en carton ; Pappbaum ; árbol de atrezo ; sagoma di albero ; decoratieboom ; бутафорское дерево ; 
0222 ; FtrStadiometer ; stadiometer ; しんちょうけい ; 身高尺 ; 身高尺 ; 신장 측정기 ; toise ; Stadiometer ; estadiómetro ; misuratore di altezza ; meter ; ростомер ; 
0298 ; FtrBeachbed ; beach chair ; ビーチベッド ; 沙灘躺椅 ; 沙滩躺椅 ; 선베드 ; transat ; Sonnenstuhl ; silla de playa ; sedia a sdraio ; strandstoel ; шезлонг ; 
0299 ; FtrTetrapod ; wave breaker ; しょうはブロック ; 消波塊 ; 消波块 ; 방파제 블록 ; brise-lames ; Wellenbrecher ; rompeolas ; frangionde ; golfbreker ; волнорез ; 
029B ; FtrIcemachine ; shaved-ice maker ; かきごおりき ; 刨冰機 ; 刨冰机 ; 팥빙수 기계 ; râpe-glace ; Eismaschine ; picadora de hielo ; tritaghiaccio ; ijsschaafmachine ; прибор для строган. льда ; 
029D ; FtrUkulele ; ukulele ; ウクレレ ; 烏克麗麗 ; 乌克丽丽 ; 우쿨렐레 ; ukulélé ; Ukulele ; ukelele ; ukulele ; ukulele ; укулеле ; 
02A4 ; FtrStonelantern ; tall lantern ; とうろう ; 石燈籠 ; 石灯笼 ; 석등 ; lanterne haute ; Mega-Laterne ; farol alto ; lanterna alta ; hoge lantaarn ; высокий фонарь ; 
02A5 ; FtrShishiodoshi ; deer scare ; ししおどし ; 竹流水造景 ; 竹流水造景 ; 대나무 분수 ; jeu d'eau ; Wasserspiel ; fuente de bambú ; fontana di bambù ; waterspeelgoed ; фонтан из бамбука ; 
02AA ; FtrBoomerang ; boomerang ; ブーメラン ; 迴力鏢 ; 飞旋镖 ; 부메랑 ; boomerang ; Bumerang ; bumerán ; boomerang ; boemerang ; бумеранг ; 
02AB ; FtrBottleship ; bottled ship ; ボトルシップ ; 瓶中船 ; 瓶中船 ; 보틀쉽 ; bateau bouteille ; Flaschenschiff ; barco en botella ; modellino di nave ; flessenscheepje ; корабль в бутылке ; 
02AD ; FtrDalecarlianhorse ; Dala horse ; ダーラヘスト ; 達拉木馬 ; 达拉木马 ; 달라헤스트 ; cheval de Dala ; Dalapferd ; caballo de Dalecarlia ; cavallo Dala ; Dalapaard ; даларнская лошадка ; 
02B0 ; FtrGojyu ; pagoda ; ごじゅうのとう ; 五重塔 ; 五重塔 ; 5층탑 ; pagode ; Pagode ; pagoda ; pagoda ; pagode ; пагода ; 
02B1 ; FtrHarikoTiger ; paper tiger ; はりこのとら ; 紙老虎 ; 纸老虎 ; 종이호랑이 ; tigre en papier ; Papiertiger ; tigre de papel ; tigre di carta ; papieren tijger ; тигр из папье-маше ; 
02B2 ; FtrHuladoll ; hula doll ; フラダンスにんぎょう ; 草裙舞娃娃 ; 草裙舞娃娃 ; 훌라 댄스 인형 ; poupée hawaïenne ; Hula-Puppe ; muñeca hawaiana ; bambola hawaiana ; hula-pop ; гавайская кукла ; 
02B5 ; FtrLiberty ; Statue of Liberty ; じゆうのめがみ ; 自由女神像 ; 自由女神像 ; 자유의 여신상 ; statue de la Liberté ; Freiheitsstatue ; estatua de la Libertad ; Statua della Libertà ; Vrijheidsbeeld ; статуя Свободы ; 
02BA ; FtrMoai ; moai statue ; モアイ ; 摩艾石像 ; 摩艾石像 ; 모아이 ; statue Moai ; Moai-Statue ; moái ; statua Moai ; moai-beeld ; статуя моаи ; 
02BC ; FtrPisa ; Tower of Pisa ; ピサのしゃとう ; 比薩斜塔 ; 比萨斜塔 ; 피사의 사탑 ; Tour de Pise ; Turm von Pisa ; Torre de Pisa ; torre di Pisa ; Toren van Pisa ; Пизанская башня ; 
02C0 ; FtrTapestry ; tapestry ; タペストリー ; 壁毯 ; 壁毯 ; 태피스트리 ; tapisserie ; Wandteppich ; tapiz ; arazzo ; wandtapijt ; гобелен ; 
02C6 ; FtrBambooChairL ; bamboo bench ; たけのベンチ ; 竹長椅 ; 竹长凳 ; 대나무 벤치 ; banc en bambou ; Bambusbank ; banco de bambú ; panca di bambù ; bamboebank ; лавка из бамбука ; 
02CC ; FtrScreenByoubu ; screen ; びょうぶ ; 屏風 ; 屏风 ; 병풍 ; paravent ; Paravent ; biombo ; paravento ; kamerscherm ; ширма ; 
02CD ; FtrKitchenKamado ; clay furnace ; かまどのキッチン ; 爐灶廚房 ; 炉灶厨房 ; 아궁이 부엌 ; four en terre cuite ; Kochstelle ; chimenea de terracota ; forno di terracotta ; keramieken oven ; печь для обжига ; 
02D2 ; FtrIrori ; hearth ; いろり ; 地爐 ; 地炉 ; 노 ; âtre ; Kochfeuer ; hogar ; focolare ; kookplaats ; кострище ; 
02D4 ; FtrKettleJapan ; kettle ; やかん ; 燒水壺 ; 烧水壶 ; 주전자 ; bouilloire ; Wasserkessel ; tetera ; bollitore ; ronde waterketel ; чайник ; 
02D5 ; FtrLampJapan ; paper lantern ; あんどん ; 方形紙罩座燈 ; 方形纸罩座灯 ; 사방등 ; lampion ; Papierlaterne ; farolillo ; lanterna di carta ; papieren lantaarn ; бумажный фонарь ; 
02D9 ; FtrGardenrock ; garden rock ; よくあるにわいし ; 常見庭園石 ; 常见庭院石 ; 평범한 정원 돌 ; petit rocher jardin ; Gartenstein ; roca gruesa ; pietra da giardino ; rots ; валун ; 
02DA ; FtrGardenrockTall ; tall garden rock ; たかいにわいし ; 高聳庭園石 ; 高耸庭院石 ; 키가 큰 정원 돌 ; grand rocher jardin ; Gartenfels ; roca alta ; pietra da giardino alta ; rotsenduo ; высокий валун ; 
02E3 ; FtrDiningtableJapan ; tea table ; ちゃぶだい ; 茶几 ; 茶几 ; 낮은 밥상 ; table à thé ; Teetischchen ; mesita ; tavolo da tè ; theetafel ; чайный стол ; 
02E6 ; FtrFireplace ; fireplace ; だんろ ; 壁爐 ; 壁炉 ; 난로 ; cheminée ; Kamin ; chimenea ; caminetto ; open haard ; камин ; 
0313 ; FtrRadicase ; tape deck ; ラジカセ ; 卡帶收音機 ; 磁带录音机 ; 카세트라디오 ; cassettophone ; Radiorekorder ; radiocasete ; radio ; cassettespeler ; магнитофон ; 
0316 ; FtrComponentHighclass ; hi-fi stereo ; こうきゅうコンポ ; 高級音響 ; 高级音响 ; 고급 오디오 ; chaîne hi-fi ; Hi-Fi-Anlage ; cadena hi-fi ; stereo hi-fi ; hifi-installatie ; стереосистема Hi-Fi ; 
0317 ; FtrJukebox ; jukebox ; ジュークボックス ; 點唱機 ; 点唱机 ; 주크박스 ; juke-box ; Musikbox ; gramola ; jukebox ; jukebox ; музыкальный автомат ; 
0319 ; FtrComponentPro ; high-end stereo ; マルチコンポ ; 多媒體音響 ; 多媒体音响 ; 멀티 오디오 ; hi-fi stéréo ; Highend-Anlage ; cadena de lujo ; stereo moderno ; luxe stereo ; музыкальный центр ; 
031A ; FtrPhonograph ; phonograph ; ちくおんき ; 留聲機 ; 留声机 ; 축음기 ; phonographe ; Grammofon ; fonógrafo ; fonografo ; fonograaf ; граммофон ; 
031C ; FtrStereoRetro ; retro stereo ; レトロなステレオ ; 復古立體音響 ; 复古立体音响 ; 복고풍 스테레오 ; hi-fi rétro ; Retro-Anlage ; cadena retro ; stereo rétro ; retrostereo ; радиола ; 
0325 ; FtrMushroomLamp ; mush lamp ; キノコのランプ ; 蘑菇燈 ; 蘑菇灯 ; 버섯 램프 ; lampe champi ; Pilzlampe ; lámpara hongo ; lampada fungo ; paddenstoellamp ; гриб-лампа ; 
0328 ; FtrMushroomTableL ; mush table ; キノコのテーブル ; 蘑菇桌 ; 蘑菇桌 ; 버섯 테이블 ; table champi ; Pilztisch ; mesa hongo ; tavolo fungo ; paddenstoeltafel ; гриб-стол ; 
0340 ; FtrOfficeChair ; modern office chair ; オフィスのチェア ; 辦公室椅子 ; 办公室椅子 ; 사무용 의자 ; fauteuil pro ; Profi-Bürostuhl ; sillón de oficina ; sedia da ufficio ; moderne kantoorstoel ; соврем. офисное кресло ; 
0341 ; FtrLocker ; upright locker ; ロッカー ; 置物櫃 ; 置物柜 ; 캐비닛 ; casier individuel ; Spind ; taquilla de vestuario ; armadietto ; sportkluisje ; шкафчик ; 
0347 ; FtrSafebox ; safe ; きんこ ; 保險箱 ; 保险箱 ; 금고 ; coffre-fort ; Safe ; caja fuerte ; cassaforte ; kluis ; сейф ; 
0348 ; FtrOfficeTable ; office desk ; オフィスのデスク ; 辦公室桌子 ; 办公室桌子 ; 사무용 책상 ; bureau pro ; Bürotisch ; mesa de oficina ; scrivania da ufficio ; kantoorbureau ; офисный стол ; 
034E ; FtrAltosax ; alto saxophone ; アルトサックス ; 中音薩克斯風 ; 中音萨克斯风 ; 알토 색소폰 ; saxophone alto ; Saxofon ; saxofón ; sax contralto ; altsaxofoon ; альтовый саксофон ; 
0351 ; FtrAmp ; amp ; アンプ ; 擴音器 ; 扩音器 ; 앰프 ; ampli ; Verstärker ; amplificador ; amplificatore ; versterker ; усилитель ; 
035F ; FtrBilliard ; billiard table ; ビリヤードのだい ; 撞球桌 ; 撞球桌 ; 당구대 ; billard ; Billardtisch ; mesa de billar ; tavolo da biliardo ; biljarttafel ; бильярдный стол ; 
0360 ; FtrBingo ; bingo wheel ; ビンゴマシン ; 搖獎機 ; 摇奖机 ; 빙고 머신 ; sphère pour tirage ; Zahlenkugel-Maschine ; bombo de bingo ; urna per estrazioni ; bingomolen ; лотерейный барабан ; 
0361 ; FtrBirdcage ; birdcage ; とりかご ; 鳥籠 ; 鸟笼 ; 새장 ; cage à oiseau ; Vogelkäfig ; jaula de pájaros ; gabbia ; vogelkooi ; птичья клетка ; 
0363 ; FtrBonbori ; blossom lantern ; ぼんぼり ; 紙燈籠 ; 纸灯笼 ; 꽃그림 육면등 ; lampe fleurie ; Blütenlampe ; lámpara bonbori ; lanterna floreale ; bloesemlamp ; лампа с цветами ; 
0366 ; FtrBookstand ; book stands ; ブックスタンド ; 書擋 ; 书挡 ; 북엔드 ; serre-livres ; Buchstütze ; sujetalibros ; coppia di fermalibri ; boekensteunen ; подставки для книг ; 
036B ; FtrBreaker ; breaker ; ブレーカー ; 電源總開關 ; 电源总开关 ; 전원 차단기 ; disjoncteur ; Sicherungskasten ; interruptor ; quadro interruttori ; zekeringkast ; электрощит ; 
0370 ; FtrBucketWood ; wooden bucket ; もくせいのバケツ ; 木製水桶 ; 木制水桶 ; 나무 양동이 ; seau en bois ; Holzeimer ; cubo de madera ; secchio di legno ; houten emmer ; деревянное ведро ; 
0379 ; FtrKocher ; camp stove ; コッフェル ; 露營爐具 ; 露营炉具 ; 코펠 ; réchaud de camping ; Campingkocher ; hornillo de acampada ; fornello da campeggio ; campinggasstel ; примус ; 
037B ; FtrCandleXmas ; holiday candle ; クリスマスキャンドル ; 聖誕蠟燭 ; 圣诞蜡烛 ; 크리스마스 양초 ; chandelle de fête ; Festtagsgesteck ; vela festiva ; candela centrotavola ; feestelijke kaars ; праздничная свеча ; 
0380 ; FtrCattower ; cat tower ; キャットタワー ; 貓跳台 ; 猫跳台 ; 캣타워 ; arbre à chat ; Kratzbaum ; torre para gatos ; torre per gatti ; kattenpaal ; башня для кошек ; 
038B ; FtrCleaner ; vacuum cleaner ; そうじき ; 吸塵器 ; 吸尘器 ; 청소기 ; aspirateur ; Staubsauger ; aspiradora ; aspirapolvere ; stofzuiger ; пылесос ; 
038C ; FtrCleanerStick ; upright vacuum ; スティックそうじき ; 直立式吸塵器 ; 直立式吸尘器 ; 스틱 청소기 ; aspirateur balai ; Stabstaubsauger ; aspiradora vertical ; scopa elettrica ; steelstofzuiger ; вертикальный пылесос ; 
0393 ; FtrCuckooclock ; cuckoo clock ; はとどけい ; 布穀鳥鐘 ; 布谷鸟钟 ; 뻐꾸기 시계 ; horloge coucou ; Kuckucksuhr ; reloj de cuco ; orologio a cucù ; koekoeksklok ; часы с кукушкой ; 
0396 ; FtrCoffeecup ; coffee cup ; コーヒーカップ ; 咖啡杯 ; 咖啡杯 ; 커피 잔 ; tasse de café ; Kaffeetasse ; taza de café ; tazza di caffè ; kopje koffie ; чашка кофе ; 
0398 ; FtrCoffeemill ; coffee grinder ; コーヒーミル ; 咖啡磨豆機 ; 咖啡磨豆机 ; 커피밀 ; moulin à café ; Kaffeemühle ; molinillo de café ; macinino per caffè ; koffiemolen ; кофемолка ; 
03A0 ; FtrPotrack ; pot rack ; キッチンつるし ; 廚房掛勾 ; 厨房挂钩 ; 주방 도구 걸이 ; porte-casseroles ; Küchenregal ; portacacerolas ; mensola da cucina ; keukenrek ; кухонная полка ; 
03A1 ; FtrAirconditioner ; air conditioner ; エアコン ; 空調 ; 空调 ; 에어컨 ; climatiseur ; Klimaanlage ; aire acondicionado ; condizionatore d'aria ; airconditioner ; кондиционер ; 
03A3 ; FtrCornucopia ; cornucopia ; ほうじょうのつの ; 豐饒之角 ; 丰饶之角 ; 풍요의 뿔 ; corne d'abondance ; Füllhorn ; cornucopia ; cornucopia ; hoorn des overvloeds ; рог изобилия ; 
03A9 ; FtrDarts ; dartboard ; ダーツボード ; 飛鏢靶 ; 飞镖靶 ; 다트 보드 ; jeu de fléchettes ; Dartautomat ; máquina de dardos ; bersaglio per freccette ; dartbord ; мишень для дартса ; 
03AD ; FtrDJbooth ; DJ's turntable ; DJブース ; DJ台 ; DJ台 ; DJ 테이블 ; platine de DJ ; DJ-Set ; mesa de DJ ; console da DJ ; dj-set ; DJ-проигрыватель ; 
03B6 ; FtrEffectorrack ; effects rack ; エフェクターラック ; 音效機櫃 ; 音效机柜 ; 이펙터 장비 ; sono ; Effekt-Rack ; cajón de efectos ; unità multieffetto ; mixer-versterker ; рэк для аппаратуры ; 
03BA ; FtrEspresso ; espresso maker ; エスプレッソマシン ; 義式咖啡機 ; 意式咖啡机 ; 에스프레소 머신 ; machine à café ; Espressomaschine ; máquina de café ; macchina del caffè ; espressoapparaat ; эспрессо-машина ; 
03BB ; FtrExit ; exit sign ; ひじょうぐち ; 緊急逃生出口 ; 紧急逃生出口 ; 비상구 ; panneau de sortie ; Notausgangsschild ; salida de emergencia ; segnale di uscita ; nooduitgangbord ; указатель выхода ; 
03BD ; FtrExtractorfan ; ventilation fan ; かんきせん ; 換氣扇 ; 换气扇 ; 환풍기 ; aérateur ; Lüftungsventilator ; extractor ; ventola ; inbouwventilator ; вытяжной вентилятор ; 
03CB ; FtrFoodmachine ; snack machine ; おかしのじはんき ; 甜點自動販賣機 ; 甜点自动贩卖机 ; 과자 자동판매기 ; distributeur en-cas ; Verkaufsautomat ; máquina expendedora ; distributore automatico ; snackautomaat ; торговый автомат ; 
03CF ; FtrFruitbasket ; fruit basket ; フルーツバスケット ; 水果籃 ; 水果篮 ; 과일 바구니 ; panier de fruits ; Fruchtkorb ; cesta de frutas ; cestino di frutta ; fruitmand ; корзина с фруктами ; 
03D5 ; FtrGo ; go board ; ごばん ; 圍棋桌 ; 围棋桌 ; 바둑판 ; table de go ; Go-Brett ; tablero de go ; tavola da go ; go-bord ; доска для го ; 
03DB ; FtrHarp ; harp ; ハープ ; 豎琴 ; 竖琴 ; 하프 ; harpe ; Harfe ; arpa ; arpa ; harp ; арфа ; 
03DC ; FtrHinadolls ; hinaningyo ; ひなにんぎょう ; 女兒節娃娃 ; 女儿节娃娃 ; 인형 장식 ; hinaningyo ; Puppenset ; hinaningyo ; hinaningyo ; hinaningyo-poppen ; коллекция кукол ; 
03E5 ; FtrIncense ; incense burner ; おこう ; 線香盤 ; 线香盘 ; 향 ; porte-encens ; Räucherstäbchen-Set ; quemador de incienso ; brucia incensi ; wierookbrander ; курильница ; 
03E6 ; FtrKitchenIsland ; kitchen island ; アイランドキッチン ; 島式廚房 ; 岛式厨房 ; 아일랜드 키친 ; îlot de cuisine ; Kücheninsel ; isla de cocina ; isola da cucina ; keukeneiland ; кухонный островок ; 
03EC ; FtrKadomatsu ; kadomatsu ; かどまつ ; 門松 ; 门松 ; 새해맞이 대나무 ; kadomatsu ; Kadomatsu ; kadomatsu ; kadomatsu ; bamboe-ornament ; кадомацу ; 
03ED ; FtrKagamimochi ; kagamimochi ; かがみもち ; 鏡餅 ; 镜饼 ; 새해맞이 찰떡 ; kagamimochi ; Kagami-Mochi ; kagamimochi ; kagamimochi ; kagami-mochi ; кагами моти ; 
03F8 ; FtrKoinobori ; carp banner ; こいのぼり ; 鯉魚旗 ; 鲤鱼旗 ; 잉어 깃발 ; bannière carpe ; Karpfenwimpel ; koinobori ; pennone koinobori ; karperwimpels ; вымпелы коинобори ; 
03FF ; FtrFallenleaves ; pile of leaves ; おちば ; 落葉 ; 落叶 ; 낙엽 ; tas de feuilles ; Laubhaufen ; montón de hojas ; mucchio di foglie ; berg bladeren ; куча листьев ; 
0405 ; FtrScreenJapanLow ; low screen ; ひくいついたて ; 矮屏風 ; 矮屏风 ; 낮은 파티션 ; panneau bas ; Sichtschutz ; cubrechimeneas ; separé basso ; laag scherm ; низкая ширма ; 
0408 ; FtrMagazinerack ; magazine rack ; マガジンラック ; 雜誌架 ; 杂志架 ; 잡지 꽂이 ; porte-revues pliable ; Zeitschriftenablage ; revistero ; portariviste ; tijdschriftenrekje ; стоечка для журналов ; 
0412 ; FtrMetronome ; metronome ; メトロノーム ; 節拍器 ; 节拍器 ; 메트로놈 ; métronome ; Taktmesser ; metrónomo ; metronomo ; metronoom ; метроном ; 
0413 ; FtrMicrowave ; microwave ; でんしレンジ ; 微波爐 ; 微波炉 ; 전자레인지 ; micro-ondes ; Mikrowelle ; microondas ; forno a microonde ; magnetron ; печь СВЧ ; 
0415 ; FtrMikeBone ; silver mic ; ガイコツマイク ; 復古麥克風 ; 复古麦克风 ; 실버 마이크 ; microphone argenté ; Retro-Mikrofon ; micrófono vocal ; microfono ; zilveren microfoon ; серебряный микрофон ; 
041A ; FtrMixer ; mixer ; ミキサー ; 果汁機 ; 果汁机 ; 믹서 ; mixeur ; Mixer ; batidora de vaso ; frullatore ; blender ; блендер ; 
041E ; FtrMoon ; moon ; つき ; 月亮 ; 月亮 ; 달 ; lune ; Mond ; Luna ; luna ; maan ; луна ; 
0422 ; FtrMusicstand ; music stand ; ふめんだい ; 樂譜架 ; 乐谱架 ; 보면대 ; pupitre à partition ; Notenständer ; atril para partituras ; leggìo per spartiti ; lessenaar ; пюпитр ; 
0439 ; FtrPianoUpright ; upright piano ; アップライトピアノ ; 直立式鋼琴 ; 直立式钢琴 ; 업라이트 피아노 ; piano droit ; Klavier ; piano de pared ; piano verticale ; piano ; пианино ; 
043A ; FtrPicnicbasket ; picnic basket ; ピクニックバスケット ; 野餐籃 ; 野餐篮 ; 피크닉 가방 ; panier-repas ; Picknick-Korb ; cesta de pícnic ; cestino da picnic ; picknickmand ; корзинка для пикника ; 
043F ; FtrPinball ; pinball machine ; ピンボールだい ; 彈珠台 ; 弹珠台 ; 핀볼 게임기 ; flipper ; Flipper ; máquina de pinball ; flipper ; flipperkast ; пинбол ; 
0444 ; FtrPopcornmachine ; popcorn machine ; ポップコーンマシン ; 爆米花機 ; 爆米花机 ; 팝콘 머신 ; machine à pop-corn ; Popcorn-Maschine ; máquina de palomitas ; macchina per pop-corn ; popcornmachine ; машина для попкорна ; 
044F ; FtrRockingchair ; rocking chair ; ロッキングチェア ; 搖椅 ; 摇椅 ; 흔들의자 ; rocking-chair ; Schaukelstuhl ; mecedora ; sedia a dondolo ; schommelstoel ; кресло-качалка ; 
0457 ; FtrOpenairbath ; outdoor bath ; ろてんぶろ ; 露天池 ; 露天池 ; 노천온천 ; bain extérieur ; Freiluftbad ; baño termal ; bagno termale ; warmwaterbron ; садовый пруд ; 
0458 ; FtrRoulette ; colorful wheel ; ルーレット ; 轉盤 ; 转盘 ; 룰렛 ; roue colorée ; Zahlenrad ; ruleta colorida ; ruota colorata ; kleurenwiel ; разноцветное колесо ; 
045C ; FtrSandbox ; sandbox ; すなば ; 沙坑 ; 沙坑 ; 모래 놀이 세트 ; bac à sable ; Sandkasten ; caja de arena ; recinto per sabbia ; zandbak ; песочница ; 
045D ; FtrSandcastle ; sand castle ; すなのしろ ; 沙堆城堡 ; 沙堆城堡 ; 모래성 ; château de sable ; Sandburg ; castillo de arena ; castello di sabbia ; zandkasteel ; песочный замок ; 
0460 ; FtrScarecrow ; scarecrow ; かかし ; 稻草人 ; 稻草人 ; 허수아비 ; épouvantail ; Vogelscheuche ; espantapájaros ; spaventapasseri ; vogelverschrikker ; пугало ; 
0464 ; FtrSeaglobe ; sea globe ; シーグローブ ; 海洋水晶球 ; 海洋水晶球 ; 해저볼 ; boule aquarium ; Aquariumkugel ; globo de acuario ; boccia acquario ; aquariumglobe ; морской шар ; 
0465 ; FtrSeasoning ; revolving spice rack ; ちょうみりょういれ ; 調味罐圓盤 ; 调味罐圆盘 ; 조미료 바구니 ; tourniquet à épices ; Gewürzständer ; especiero giratorio ; portaspezie rotante ; kruidenrek ; подставка для специй ; 
0466 ; FtrServer ; server ; サーバー ; 伺服器 ; 服务器 ; 서버 ; serveur informatique ; Server ; servidor ; server ; server ; сервер ; 
0467 ; FtrSewingmachineRetro ; old sewing machine ; ふるいミシン ; 舊式縫紉機 ; 旧式缝纫机 ; 오래된 재봉틀 ; machine à coudre rétro ; Pedalnähmaschine ; máquina de coser antigua ; macchina da cucire antica ; trapnaaimachine ; швейная машина ретро ; 
0468 ; FtrSewingmachine ; sewing machine ; ミシン ; 縫紉機 ; 缝纫机 ; 재봉틀 ; machine à coudre ; Nähmaschine ; máquina de coser ; macchina da cucire ; naaimachine ; швейная машина ; 
046B ; FtrOutdoorunit ; outdoor air conditioner ; しつがいき ; 室外機 ; 室外机 ; 에어컨 실외기 ; ventilateur d'extérieur ; Klima-Außengerät ; aire acondicionado exterior ; condizionatore esterno ; airco-condensor ; наружный кондиционер ; 
0477 ; FtrSmoker ; smoker ; くんせいマシン ; 煙燻爐 ; 烟熏炉 ; 훈제 통 ; fumoir ; Räucherofen ; horno para ahumados ; affumicatore ; rookoven ; коптилка ; 
0479 ; FtrSnowglobe ; snow globe ; スノーグローブ ; 下雪水晶球 ; 下雪水晶球 ; 스노글로브 ; boule à neige ; Schneekugel ; globo de nieve ; globo di neve ; sneeuwbol ; снежный шар ; 
047D ; FtrSoccergoal ; soccer goal ; サッカーゴール ; 足球球門 ; 足球球门 ; 축구 골대 ; but de football ; Fußballtor ; portería ; porta da calcio ; voetbaldoel ; ворота ; 
